date_time,city_area,state,country,ufo_shape,encounter_length,description,date_documented,latitude,longitude,time,weekday,month
2009-09-19 19:52:00,great barrington,ma,us,light,30.0,Bright pure white cone of light&#44 not moving&#44 over northwestern Connecticut&#44 for about 20 sec.. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,42.1958333,-73.3625,19:52,Saturday,September
2007-01-24 19:55:00,chesapeake,va,us,fireball,30.0,WE WERE WAS STOPPED AT THE RED LIGHT&#44 AT THE INTERESECTION OF DOMINION BLVD. AND MOSES GRANDY TRAIL..(FACING WEST) AND WE SAW A FIREBAL,2/1/2007,36.8188889,-76.2752778,19:55,Wednesday,January
1999-09-05 06:30:00,sutton,wv,us,disk,600.0,Object in Early Morning Sky over Sutton&#44WV 3 witnesses,10/30/2006,38.6644444,-80.71,06:30,Sunday,September
2013-03-01 21:05:00,el centro,ca,us,triangle,2100.0,3 orange bright triangle or arrowhead shape lights reappeared.,4/12/2013,32.7919444,-115.5622222,21:05,Friday,March
2009-10-25 20:45:00,hemet,ca,us,triangle,60.0,Two triangular UFO&#39s seen over Hemet&#44 CA in the night sky with distortion field,12/12/2009,33.7475,-116.9711111,20:45,Sunday,October
2006-10-30 17:45:00,old lyme,ct,us,flash,60.0,white (looked like a planet) with red and green flashing around it&#44 like police lights. CT.  ((NUFORC Note:  Possible star??  PD)),12/7/2006,41.3158333,-72.3294444,17:45,Monday,October
2008-02-15 18:15:00,reno,nv,us,light,120.0,One bright light moving silently east of Reno Nevada,3/4/2008,39.5297222,-119.8127778,18:15,Friday,February
1976-06-30 01:00:00,cactus flat,sd,us,fireball,5400.0,Fiery oranges red object hovering over Minuteman II Launch Facility alarms sounded security team dispatched to investigate.,2/14/2006,43.8355556,-101.8938889,01:00,Wednesday,June
2013-11-13 01:21:00,sammamish,wa,us,triangle,120.0,Crazy triangle UFO&#44 flashing designs in light show over Sammamish&#44 WA,11/20/2013,47.6419444,-122.0791667,01:21,Wednesday,November
2013-11-16 08:25:00,yuba city,ca,us,sphere,60.0,3 orbs over Beale Air Force Base,11/20/2013,39.1405556,-121.6158333,08:25,Saturday,November
2010-06-01 17:40:00,new york city (queens village),ny,us,cigar,240.0,Large cigar chaped object seen near Queens Nassau border--helicopter follows,6/10/2010,40.7141667,-74.0063889,17:40,Tuesday,June
2003-09-06 23:30:00,new york city,ny,us,cigar,3600.0,Lights over New York City,9/9/2003,40.7141667,-74.0063889,23:30,Saturday,September
2007-11-29 00:00:00,modesto,ca,us,light,3600.0,At 4:00 am I awoke looking at the sky in the E and noticed a bright star. The star started to slowly move.  ((NUFORC Note:  Venus?? )),1/21/2008,37.6391667,-120.9958333,24:00,Thursday,November
1984-08-15 21:00:00,croton-on-hudson,ny,us,sphere,1200.0,craft glided over houses. Seemed to be just above tree line but it was huge so hard to tell how high. Silent. Slow. Many saw it. Police,8/10/1999,41.2083333,-73.8916667,21:00,Wednesday,August
2001-03-26 04:40:00,minneapolis,mn,us,light,60.0,We were at FL330/33&#44000ft ((deleted)) bound ((deleted))-Chicago 3/26/01 @ 0440 Central Time.,4/28/2001,44.98,-93.2636111,04:40,Monday,March
1997-12-01 00:00:00,warwick,ri,us,circle,3600.0,I was watching Deep Space Nine which airs at 12pm when a unusual bright object caught my eye I quickly got up and looked out my front w,6/2/1998,41.7,-71.4166667,00:00,Monday,December
1993-08-12 02:00:00,pembroke pines,fl,us,sphere,600.0,spherical egg shaped bright green-stationary then lightning fast...twice&#33,2/1/2007,26.0027778,-80.2241667,02:00,Thursday,August
2011-06-29 22:04:00,fruitland,md,us,light,5.0,We saw a bright light slowly fade while moving slowly.  ((NUFORC Note:  International Space Station over-flight.  PD)),7/4/2011,38.3219444,-75.6205556,22:04,Wednesday,June
2011-10-16 06:30:00,orlando,fl,us,cylinder,1200.0,I saw a dark rectangular object with three bright lights hovering in the sky for about 5-10 minutes before it transformed and flew off,10/19/2011,28.5380556,-81.3794444,06:30,Sunday,October
2011-03-13 22:00:00,plattekill,ny,us,triangle,3600.0,OBJECTS VERIFIED BY LOCAL POLICE,3/23/2011,41.6175,-74.0763889,22:00,Sunday,March
1967-07-31 22:30:00,wadsworth,oh,us,other,25.0,It travelled too fast to be man made.,11/3/2005,41.0255556,-81.73,22:30,Monday,July
2011-08-27 02:40:00,drake,mo,us,flash,20.0,A bright flash or blink was observed in several locations in the night sky.,10/10/2011,38.4683333,-91.4644444,02:40,Saturday,August
2011-07-29 22:50:00,dunn,nc,us,triangle,15.0,Triangular UFO&#39s seen in Dunn&#44 NC on  07/29/2011,10/10/2011,35.3061111,-78.6091667,22:50,Friday,July
2013-06-04 23:50:00,bloomington,mn,us,oval,3600.0,Large oval ring of lights.,7/3/2013,44.8408333,-93.2980556,23:50,Tuesday,June
2004-07-11 15:30:00,tarpon springs,fl,us,disk,60.0,During the aftermath of the second hurricane to hit Florida I was cleaning up debris to be taken to a site the county had set up for di,9/2/2005,28.1458333,-82.7569444,15:30,Sunday,July
2007-03-22 22:46:00,griffin,ga,us,teardrop,120.0,Purplish light seen from car over school parking lot in Griffin GA,4/27/2007,33.2466667,-84.2641667,22:46,Thursday,March
2004-04-15 01:00:00,hayden,id,us,unknown,15.0,UFOs may only be intraterrestial&#44 military or other-than-normal occurance&#44 not extraterrestial.,7/5/2008,47.7661111,-116.7855556,01:00,Thursday,April
1957-07-15 23:30:00,kansas city,mo,us,light,10800.0,car ingulfed in red light&#44 missing time&#44 father decessed now&#44 mother now 75&#44 sister now 44&#44 and self now 54&#44 light remained for what se,8/10/1999,39.0997222,-94.5783333,23:30,Monday,July
2011-12-25 18:15:00,defiance,mo,us,circle,90.0,Took my dogs out to go to the bathroom&#44 neighbors pointed out 10-15 circular orbs hovering vertically of one another.,1/12/2012,38.6635,-90.8184,18:15,Sunday,December
1989-09-27 20:30:00,oak ridge (over classified y12 facility),tn,us,disk,1800.0,Huge Saucer with lights seen&#44 over Oak Ridge&#44 hovered&#44 lights changed&#44 and suddingly disappeared .,4/30/2004,36.0102778,-84.2697222,20:30,Wednesday,September
1996-08-15 22:00:00,lexington,va,us,light,5.0,What I saw was a light in the sky that moved silently and very fast down the side of a mountain.,7/16/2003,37.7838889,-79.4430556,22:00,Thursday,August
2007-10-28 17:30:00,bolingbrook,il,us,light,900.0,Numerous lights with jets following,11/28/2007,41.6986111,-88.0683333,17:30,Sunday,October
2000-08-06 21:13:00,portland,or,us,light,180.0,bright light moving South to North&#44 then turns due East over Portland&#44 Or.  Above airliner traffic&#44 and faster.,9/17/2000,45.5236111,-122.675,21:13,Sunday,August
1988-12-14 09:00:00,ohio city,oh,us,disk,600.0,Huge craft with lights moving slowly about 20-30 feet off the ground,4/2/1999,40.7713889,-84.6155556,09:00,Wednesday,December
2009-03-12 00:15:00,riverton,ut,us,circle,2700.0,Round obj. flashing red&#44 blue&#44 green&#44 yellow colors; 10 deg. above hor. and sSSW of my position. ((NUFORC Note:  Sirius?  PD)),3/19/2009,40.5219444,-111.9383333,00:15,Thursday,March
2005-04-23 18:30:00,juneau,ak,us,disk,15.0,Saucer-like craft flies northwest,5/11/2005,58.3019444,-134.4197222,18:30,Saturday,April
2009-02-27 01:30:00,tahoe city,ca,us,cigar,5.0,fast moving object with flashing lights disappeared in 4-5 seconds,3/19/2009,39.1722222,-120.1377778,01:30,Friday,February
2009-09-09 22:30:00,albion,mi,us,light,180.0,strange lite,12/12/2009,42.2430556,-84.7530556,22:30,Wednesday,September
2009-05-24 15:00:00,yakima,wa,us,disk,2.0,Disc seen in pic after dowloading pic to computer over military base,8/5/2009,46.6022222,-120.5047222,15:00,Sunday,May
2010-07-04 21:30:00,west peoria,il,us,circle,120.0,On July 4th&#44 2010&#44 I saw 2 red ball in the night sky traveling northwesterly&#44 andthe dissapeared in the tree line.,7/10/2010,40.6936111,-89.5888889,21:30,Sunday,July
2004-06-16 13:18:00,portland,or,us,sphere,180.0,Object seen in sky over Downtown Portland Oregon moving very slowly coming from N.E. Direction to S.W. direction.  Appeared silver in c,6/18/2004,45.5236111,-122.675,13:18,Wednesday,June
2004-08-31 20:50:00,troy,ky,us,other,3600.0,A cloud like cigar shaped object - moved eastward over our heads and dissipated((NUFORC Note:  Missile launch.  PD)),9/1/2004,37.91,-84.6947222,20:50,Tuesday,August
2008-10-08 21:00:00,ukiah,ca,us,light,1209600.0,&quot;Bright-Star or Something Else&quot;&#33  ((NUFORC Note:  Probable star.  PD)),10/31/2008,39.1502778,-123.2066667,21:00,Wednesday,October
2009-06-11 20:13:00,seattle,wa,us,oval,1200.0,I am a trained scientist and skeptic. I come from a military and nasa background. This thing I am seeing and recording&#44 hovering&#44 is hu,8/5/2009,47.6063889,-122.3308333,20:13,Thursday,June
2011-12-23 22:58:00,grass valley,ca,us,other,540.0,Red lights shining on a black or invisible flying/stationary object.,1/12/2012,39.2191667,-121.06,22:58,Friday,December
1975-08-01 18:00:00,ravenna (near  west branch state park),oh,us,cylinder,1200.0,5 of us were standing outside talking&#44 I felt as though someone was looking at me&#44 I turned around and saw it it was&#39nt moving&#44 then st,1/28/1999,41.1575,-81.2422222,18:00,Friday,August
